id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
395,2135477571233,1773051311231286627,1773049175753715394,-458,-65435,1
396,2135478569139,1773051311232349161,1773049175753780022,-2094,64628,1
397,2135479570049,1773051311233276797,1773049175753706748,910,-73274,1
398,2135480569720,1773051311234345957,1773049175753776237,-329,69489,1
399,2135481580944,1773051311235320075,1773049175753739131,11224,-37106,1
400,2135482571551,1773051311236358932,1773049175753787381,-9393,48250,1
401,2135483569857,1773051311237340636,1773049175753770779,-1694,-16602,1
402,2135484569849,1773051311238381297,1773049175753811448,-8,40669,1
403,2135485569395,1773051311239315070,1773049175753745675,-454,-65773,1
404,2135486569439,1773051311240333629,1773049175753764190,44,18515,1
405,2135487569314,1773051311241282241,1773049175753712927,-125,-51263,1
406,2135488571545,1773051311242445326,1773049175753873781,2231,160854,1
407,2135489594321,1773051311243300540,1773049175753706219,22776,-167562,1
408,2135490571162,1773051311244452740,1773049175753881578,-23159,175359,1
409,2135491571441,1773051311245437902,1773049175753866461,279,-15117,1
410,2135492570814,1773051311246376681,1773049175753805867,-627,-60594,1
411,2135493569841,1773051311247396090,1773049175753826249,-973,20382,1
412,2135494570024,1773051311248358181,1773049175753788157,183,-38092,1
413,2135495568924,1773051311249384510,1773049175753815586,-1100,27429,1
414,2135496567583,1773051311250364099,1773049175753796516,-1341,-19070,1
